id,text,month,year
R_6QcGgNHISsWJtWc,Has modern technology wifi capabilities going green,Aug,2024
R_71HxlDsH4H4je9y,They have a recall,Aug,2024
R_1DIswiuw9rV4s3n,I like the new services and products,Aug,2024
R_43v7mnylnZ6Hzyx,The ad was about ford suv,Aug,2024
R_5uS8Pv07SFZhKE1,no,Aug,2024
R_30vOD0VtEpwxCfh,Anything,Aug,2024
R_3wT5jPCxiGO4RNv,both really,Aug,2024
R_3qdV1SnAVX2enzZ,Positive and opinions,Aug,2024
R_52LJmWzlzhbxona,How many worker employed,Aug,2024
R_1dHpB4GKgdZt8I6,I’m not going back to the gym now I’m just getting back in my room and I’m not sure if I’m not gonna go back in time for the rest of the,Aug,2024
R_6YhTiOzL05LIz7m,Commercial. Tough cars,Aug,2024
R_3d6KSRHZ3fNhBKQ,About the different low prices on there trucks and cars,Aug,2024
R_5mkfgHKTphHQzqH,I dont recall,Aug,2024
R_5wySU19lXeSUThS,They are doing what they can to help the environment,Aug,2024
R_1QsZWRNXr7ADQdP,Don’t remember,Aug,2024
R_71n0qAYildHHqTq,N e electric trucks,Aug,2024
R_32yI7hZGsFtW9Yn,I think its a really good thing so I wash it again,Aug,2024
R_71u4Womjf6Tsu4h,New trucks,Aug,2024
R_3nHxtk7uYXe7B2V,Commercials on TV,Aug,2024
R_7bWz32hA9AxKeA9,The only way I could do that was if,Aug,2024
R_5Y4ck7LHRWJJ0iS,I read about their vehicles,Aug,2024
R_5Q5y4iLHM5bYaSP,There was saying that they might lay off people because of the slow production because are not buying electric cars made from Ford Motors.,Aug,2024
R_3vB0aVBdJ9vON3j,Built Ford Tough,Aug,2024
R_1t3K72Kc5KqLaIp,Mostly new ads,Aug,2024
R_3itFMMT5LzmSDwP,That they are making electric vehicles,Aug,2024
R_5t04x7UmwQgMh3F,Ford cars focusing on the environment,Aug,2024
R_5E9daVSrbccgkSJ,It was on tv showing newest trucks on sale.,Aug,2024
R_3LdRdm8we2cJVTM,TV ad,Aug,2024
R_12JWULG67kL1wTJ,Good news,Aug,2024
R_7PGK3JzVsucIq62,How its coming out with its new hybrid.,Aug,2024
R_6psBAv8Q10Uc7UI,i saw an advertizement on tv.,Aug,2024
R_3e8E2ED8fH0k8Kz,great innovation,Aug,2024
R_1hsB8pRwwgTCPQw,It was an advertisement for new fords,Aug,2024
R_11WTV2hEcLK4Eoh,positive news,Aug,2024
R_3RV5aUEUi1s4Acq,It was all cool to me,Aug,2024
R_1FlcSvFtI4luqvU,Plants moving to Mexico,Aug,2024
R_1KdoC1Ce8Wv4Z8L,They are a good brand,Aug,2024
R_3SrIj2HC0CceB77,Coming out with th the all electric lightning truck.,Aug,2024
R_1DZibZXvMOOvnV0,cant remember it off the top of my head.,Aug,2024
R_6N9SNH8MS0WVRGy,Great prices n sales to match ur needs,Aug,2024
R_3iqCgH6EG6sF2pz,Ford ad,Aug,2024
R_6qHXBTAC03rZeDt,The new Mustang,Aug,2024
R_1dA98aJZsdYqRYk,It the new features,Aug,2024
R_3oFbOvFnAlxJyDf,I saw an ad on TV,Aug,2024
R_76artipvtCowNlT,The three versions of the pick up regular hybrid or electric,Aug,2024
R_5rZqbRwKwqrE0CJ,President visiting,Aug,2024
R_5YKU0w3mMlEuAiW,No specifics,Aug,2024
R_7WMTHAJJhck4ksX,How they are going to make new vehicles,Aug,2024
R_7oYkbAZTMKzWz4E,It was an add to sell the product,Aug,2024
R_5sJKLNnsSQLAdY5,It was a very positive story,Aug,2024
R_1rP2mzbTC0ASoqJ,I own a dissel 3500 truck love it I can put work to it and it still good,Aug,2024
R_5JsYZLKNBuG3MOJ,They have good cars,Aug,2024
R_6gTuLxotFdQQSqq,Commercials,Aug,2024
R_7Tpl7RoLc6r0okZ,about their new EV trucks,Aug,2024
R_3eNhQrW6jo3E5QR,Recall issues,Aug,2024
R_5hcmqqsfEykXVrp,Just showing Fords Bronco,Aug,2024
R_7EEoJIIiIu5FDvH,I’m going to go ahead with that one and get,Aug,2024
R_668zxrMyWUxdpRL,Can’t remember,Aug,2024
R_3WJn2gF2DX9AYbD,they are a leader in ev technology,Aug,2024
R_3KFhxLH2kHDSGPL,Jst cmmercials gor f159 serues,Aug,2024
R_7Hn6nWVEXbrNw4v,Advertising the New ford fi50,Aug,2024
R_3ieqXkANK3RcU2i,It’s different,Aug,2024
R_1qUJlsoxtcyTgKa,Reliability,Aug,2024
R_7kelOg52DbjcVix,typical advertisement,Aug,2024
R_6ezCgfm5Ozjs36X,safer trucks to drive more fuel efficient,Aug,2024
R_7YDkgfcyeRtiv7Y,New cars coming out,Aug,2024
R_5gSvEEfNqMO0YHn,The success of the company and how it’s making money and its employees are doing well.,Aug,2024
R_15vf1bKvLWbLAQq,Reliable,Aug,2024
R_51jHs7j6HeKzq33,New vehicles in the works,Aug,2024
R_3nZOQ2hEV1RX6Z4,That they are recalling a few different vehicles,Aug,2024
R_7J9iXfnZ7YPE1zH,New vehicle,Aug,2024
R_77qEM4ug0qxCHWW,Ford hiring new Car Dealers,Aug,2024
R_3EGf0XE7pt4yh6n,Recalls on trucks,Aug,2024
R_64ZTU3H84zt5EYx,Its the best car company,Aug,2024
R_7nHhQicXaFcSAaX,New caes,Aug,2024
R_6HhMeEAI6ZeFIpq,The deals on their cars,Aug,2024
R_11o2nXD4jW6eoOi,Yes it was a positive review,Aug,2024
R_6XbbAyHvqu0D7ui,It was Bout the success of the company as whole.,Aug,2024
R_5MFpzoy0MZgQPk5,Positive feedback,Aug,2024
R_74z6QucKl6klyVz,None,Aug,2024
R_1XlBUgFqcgMZEMV,New ford 2025,Aug,2024
R_7FzEMDeI5GIJqD6,Reliable service,Aug,2024
R_7gBWyrcYGsyUZFL,"No, sorry",Aug,2024
R_16bSL7T3eDX2FUX,Switching to eletric,Aug,2024
R_1iaZg9KFvOuxJ4d,Recall,Aug,2024
R_7dEEZp5qoZASbGO,it was a positive news story,Aug,2024
R_3OV8GQPPzDXHKMf,New electric bike,Aug,2024
R_60aM8QFxs5SXzrj,"Ford issued a Do-No-Drive advisory for over 700,000 of their vehicles.",Aug,2024
R_3PplayYADPwuvRY,Just explaining that their brand is still there and has been standing for however many years theyve been,Aug,2024
R_3CkLP8OQKKEZmuH,The cars and trucks are reliable,Aug,2024
R_1OYzF76LEF3egep,car crash,Aug,2024
R_3kCeYu7L2GuBKAK,something about them being dropped or other company dropped them but idc I like ford,Aug,2024
R_6W20XJ4opVHDDP3,Stock prices drop,Aug,2024
R_1FJuSpGHMgGChGN,The EV battery plants being behind schedule and SUVs not selling well,Aug,2024
R_3lvUUQRwjvFIcq5,Showing the up and coming off their new vehicles,Aug,2024
R_3NUrjZ0HpWuzhsd,N/A,Aug,2024
R_5n2GjUCQav2OXSF,It was just an ad about ford selling their cars.,Aug,2024
R_7mDuqsu0XsP8d8Z,No,Aug,2024
R_1CjrzIT3whPJWly,Was an ad of some pick up truck,Aug,2024
R_6aASPmWbJTkafPH,They were working on coming out with EV cars,Aug,2024
R_5xxF0EzBFo2rIiY,Dont know,Aug,2024
R_6EAK3sydmdZyLXy,It was a recall on the new Ford Bronco,Aug,2024
R_6o0a2Pg3RStuHdH,They are make millions of jobs for people,Aug,2024
R_5nTK634eocVWtdY,"A person asked a mobile mechanic to look at their car, to determine if it was feasible to repair. The person was on a limited budget, and needed the car to be able to go to work. The mobile mechanic told the person after checking the vehicle that it was going to be extremely expensive and time consuming to fix, and they would be better served to get something else. Person was very upset and told the mechanic it wasnt possible with the limited income and the fact that they had been living in the vehicle. The mobile mechanic went to a local Ford dealership and bought that person a newer previously owned vehicle. Drove it to the spot where they had left the person and handed them the keys.   But it was going to",Aug,2024
R_3N5N5shpH6tJmSZ,Ford mustang,Aug,2024
R_6Mcx0iIbMiSn1yV,New vehicles,Aug,2024
R_5Y36fT9ejMejcm5,Ellectric card,Aug,2024
R_3hXr461SQHModf6,Gone woke and people are not happy with that. Many recalls in older models for air bags exploding. Quality and safety lowered while prices are way up,Aug,2024
R_6O9f1foJZb7tTZ0,A commercial about the Lincoln Navigator,Aug,2024
R_1CNwMsLDFpTmStP,I have seen none,Aug,2024
R_7f21OHsgOtZ6iEi,better vehicle,Aug,2024
R_6wYM89dsABtCtWh,ford on th rise,Aug,2024
R_14P3QzPvAc9u2qH,New cars available for purchase,Aug,2024
R_5curktQst34F7Kn,television ad,Aug,2024
R_2X9pqOWPUbo0tuV,Their latest products with unique features,Aug,2024
R_7jDntB1B6FsMWuS,Mustang automobiles. I owned a Mustang. When I see an ad I pay attention,Aug,2024
R_3DvUyYWTs9NqSpb,I saw many favorite story,Aug,2024
R_3ev5DkbzDzlbFBv,That the new CEO was going to announce some new autos that will be rolling out for the coming year,Aug,2024
R_6dVUt66jW2AH9eg,"Air bags are not releading on high inpact, the say dont drive the car",Aug,2024
R_6CDcs2RWN9AgN07,The new environment lineup coming out,Aug,2024
R_52JZb7KdkN4eq1U,That its built Ford tough,Aug,2024
R_5dAkOJIBPtLxtPX,That they have good vehicles,Aug,2024
R_5FxucUSJ6R7uzh7,New vehicle,Aug,2024
R_5rjKncomaky1sZ2,"I recall news stories about Ford Motor Company focusing on their shift towards electric vehicles, unveiling new models like the F-150 Lightning, and initiatives to enhance sustainability and innovation in their manufacturing processes.",Aug,2024
R_2pHW0rAN8JMl1KN,The only reason we got this was the first,Aug,2024
R_5GZ1cZ60c6AXqLv,Ford motor company had a poor earning report and is losing more.,Aug,2024
R_5wTYa27i4wCdzNL,some new vehicle information,Aug,2024
R_3OTlq63WYKKxhsk,Drive thru rough terrain reliable,Aug,2024
R_31WmiWoajDNpusF,that ford is number one,Aug,2024
R_5JFo3v7PhA6PDOc,On social media,Aug,2024
R_6TDC7HoyttyAP8R,Turning out electric cars,Aug,2024
R_3RP5neAnAztY3Vs,best service,Aug,2024
R_1meAbAyydFlj3d4,It was nice,Aug,2024
R_7pZ5YvJw59LnG9P,they introduce many new idea for new product,Aug,2024
R_3P0eJYetOol4PnB,Bulit Ford Tough,Aug,2024
R_7cIUPVmdxLsFcFr,they were cutting back at one of the plants,Aug,2024
R_301yNJjRmHJncEb,Tv,Aug,2024
R_7QMVhbNE6cTrA6f,its overstock of electric vehicles and chip shortages,Aug,2024
R_53qo2W3V00TMdgv,Duct judicial brush duff Gucci bf f cert veggie cush sky,Aug,2024
R_7n1OXNDyYDqHxpR,That they are coming out with a cobra F150,Aug,2024
R_6noXv9tbJpjvRoL,the was an airbag recall for hundreds of thousands of vehicles.,Aug,2024
R_5uEBOJbEWVwIkza,Advertising trucks,Aug,2024
R_5KuRCizK0UoOHd2,That their electric trucks are not selling well,Aug,2024
R_1DCsIuSe4pMdWOl,Most of their cars are not made in the USA,Aug,2024
R_6NVyeBSHudtGaBW,That Ford will start making lower cost EVs in order to appeal to a broader customer base.,Aug,2024
R_5KlOPhyl6UpeMIj,Nothing,Aug,2024
R_1iAq7NRha4yadoZ,adding new lines to there pickup factories,Aug,2024
R_5pPNpjf9svqbM0R,Earnings reported,Aug,2024
R_3OHItLjTsEeDC8s,Ford recalls vehicles because of steering issues,Aug,2024
R_5f9hWjnMF3qH7Oh,An advertisement for Ford Trucks on TV,Aug,2024
R_7NaZUveueTyfcrt,Electric vehicles are constantly improving,Aug,2024
R_63EmA8v8cVy9w5A,Building more electrical cars,Aug,2024
R_7nwpLo7lsXgRiij,They have announced a recall due to airbags also their not selling many new cars,Aug,2024
R_7g1kNc0IFmfkJwJ,I vaguely recall them demonstrating a new truck with better safety features.,Aug,2024
R_52nSbJyUifQFKwE,Recalls,Aug,2024
R_7QnhP8kvCpWjOh6,They had many recalls and quality control issues,Aug,2024
R_1FKYZcsNEugWgMK,A recall of cars with certain types of air bags.,Aug,2024
R_6DJ2kTidK0w22aJ,multi-billion dollar losses in its EV program have resulted in reductions in that program with some increased spending to expand its gasoline and hybrid vehicle program,Aug,2024
R_6qfYvmZk1Kf4Jsx,They were discussing the issue related to electric cars,Aug,2024
R_1DMjbp6sn88l1jq,TATA airbags ford has issued a do not drive,Aug,2024
R_5pwffA34oKJFbaN,Issues with the air bags,Aug,2024
R_1Zj4C82TYKdUPkt,ads on tv for f150,Aug,2024
R_3Km6zwVj6rzXzAR,Towing power,Aug,2024
R_3t3xM96DEIR82di,They are making EVs,Aug,2024
R_7RmETyQOB5XdyJb,It said Ford was doing really good and they are up 3%.,Aug,2024
R_7uE75W3F1Ba5mQz,corrupt idk,Aug,2024
R_6DnJCaOk92Pfwza,The new Ford EV and hybrid cars that are being sold at dealerships.,Aug,2024
R_7esAo03ifjkY5sf,Lessening EV and hybrid production in favor of gas guzzlers,Aug,2024
R_3h0AWFOV4Su2y9Q,Their new F150,Aug,2024
R_5LAlQEBJI5hPkNJ,Ad for financing at 0% for 3 of their vehicles,Aug,2024
R_3s5io4JNHmaU1at,"Ford trucks, having problems. Don’t remember details",Aug,2024
R_1YPK46jh7f9uof4,"A recall, The doors on the car might mass up and to make an appointment to get it fixed",Aug,2024
R_6ECwq7IlnalsasN,I heard about wage increase for its employees.,Aug,2024
R_1SqaGTLjFHmeqLl,Changing production away from electric trucks to make more gas powered trucks,Aug,2024
R_7j0PfmLDuhOknsv,Because It is nice and I like it.,Aug,2024
R_7NKxKJtDJecWyhS,They aren’t making anything but teucjs,Aug,2024
R_1Rw7De2lrgXw4r7,They are donating,Aug,2024
R_5Kp8dGjXP9WsDvN,Newer vehicles,Aug,2024
R_7EyFq0NbgJeZmZV,It’s nice and amazing,Aug,2024
R_3LXiHgeVm7qM7G9,about hiring more workers,Aug,2024
R_7Sfgo6OQCFmGuQh,getting people to buy their cars.,Aug,2024
R_5M6fYY76cayodtT,Great quality,Aug,2024
R_5oAaBFIkPGdw9E3,Cutting jobs for America workers.,Aug,2024
R_54U0T8hmIrTRxf3,I love everything about it,Aug,2024
R_37bY9m0Ph35tQwV,They issued a ‘do not drive’ warning for many vehicles,Aug,2024
R_1qe2POrsZx4nMhJ,The new vehicles,Aug,2024
R_6anqPuM5unHWUI2,Ford issued a do not drive on cars with Tamara airbags,Aug,2024
R_690tfVmF59f7m6I,recall,Aug,2024
R_5xOSX3czJfW7xiN,i read an article about their electric/hybrid vehicles,Aug,2024
R_6f5i86yzfHqynbr,Yes it was an article I came across online,Aug,2024
R_7uTCSPztr2OXS5b,None,Aug,2024
R_3f3pDsVLwBLGlwM,Stock price drop,Aug,2024
R_1rTafD85qT9IloL,It was describing how ford was built tough,Aug,2024
R_11HF7Ap5UkMDfl5,Dont know,Aug,2024
R_6CCxzmsGVojHIuQ,More environmental friendly,Aug,2024
R_5joCKJSSxU53NSW,I heard that people arent buying the new EVs they have built & recall on some vehicles,Aug,2024
R_5MLlSgXPEtWwNIy,I dont remember what it was about,Aug,2024
R_5JRDQhlA4ZWVSNE,I heard about Ford new innovation and the Ford new electric truck.,Aug,2024
R_1WIs1D4U4DYfw4C,Driving a ford,Aug,2024
R_3HdSjn2C6yUhe75,New seriee,Aug,2024
R_79cIpvnydLsAXDP,Nothing comes to mind,Aug,2024
R_6Yi7VBl7kH4Oimm,About newly 2025 vehicles being made and cutting back on pollution,Aug,2024
R_7w46kUpuavKKIm2,Dont remember,Aug,2024
R_1cCrhPoCXji5rzi,Everything,Aug,2024
R_1VQpXywoa2LzL8F,Showing the current financing deal on lease,Aug,2024
R_6ExXFmYGt1jHINt,Just a news story about a affordable electric vehicle,Aug,2024
R_3SphkV1MHR6bIKa,I read how Ford is contributing the most they can to society through bad inflation times.,Aug,2024
R_7OcysBjtcBEI0BF,150 trucks,Aug,2024
R_5Uhfwew9XHW16hC,"it was basically, advertising.",Aug,2024
R_7l027tgMTFVwSyB,All the time,Aug,2024
R_5vLgdvX0Z1M7nON,Best company in the country,Aug,2024
R_14klFMqobESAnrf,I can’t recall,Aug,2024
R_6a9SWI8Gmvso06b,tv f 150,Aug,2024
R_5gpXw3XCoLocX0A,Nothing really interesting,Aug,2024
R_1NrFrtuBS3eRpHm,F-150 is still the best selling truck,Aug,2024
R_6dQjEyUCjwO0pdo,About the efficiency from each of these models,Aug,2024
R_1ry5PH1KSXKtbCp,strong running vehicle,Aug,2024
R_6DvBrhj3LSIBzAC,The new Maverick truck,Aug,2024
R_6WD5ejKLa46dunf,f150 truck is leader in its field.,Aug,2024
R_61HsNFWFXweUdPw,Production schedule models,Aug,2024
R_7J5lLue8xoxR9Wd,Cannot remember,Aug,2024
R_39d3MdQsx8RVDxL,The story was that they were announcing the new Ford Explorer,Aug,2024
R_77sCi2XhuZNfx5H,It was about how the Biden Administration had caused Ford to lose over 4 billion dollars.,Aug,2024
R_1p3WEs0xAiSVxcJ,Just thier general  earning,Aug,2024
R_77DS1Cd9dJ0mFZY,Investors in the Ford Motor Company are trying to contact lawyers before early October to discuss their rights.,Aug,2024
R_8frG9FWbCJ7UfVd,About the latest vehicle with great technological advancements,Aug,2024
R_5RsDul34pbE13Sa,N/A,Aug,2024
R_5MZkLbWP3g81EVq,very well,Aug,2024
R_3R8taudwJnEM9jX,Trustworthy and realizable with quality service and unique value,Aug,2024
R_30jgF9NFGMttv6t,Trusted Company,Aug,2024
R_2J94o2cv3g33TjM,The overall quality is great,Aug,2024
R_6rA57FaZ8ahgnI9,Just commercials,Aug,2024
R_1Gm6rXlsetVnaI9,Good,Aug,2024
R_6wTAOKP1uDgZOOs,Their new EV vehicles,Aug,2024
R_3dGhamk8MsL3R6j,They are a leading,Aug,2024
R_3Aw1SC9WcApJinf,they have a new line of vehicles,Aug,2024
R_1JZqSKPpO6NyIrn,The product and how it performed,Aug,2024
R_1Xh7vBKQ0VhEtnL,How they were done making cars,Aug,2024
R_12GiUsPskhC4GsQ,There was a delay in Ford building an EV battery plant in Kentucky,Aug,2024
R_5ZBDNZD5Dd0tPJD,Commercial ads on TV showing the lates vehicles with their features and powertrains.,Aug,2024
R_5MlnU3DNPU6kGAN,Ford is working on 0 emmissions by 2052,Aug,2024
R_6FKX8snVM5BpTze,The new vehicles that are available this year.,Aug,2024
R_7GDjgiN0gM06i1b,Ive heard about new vehicles available and the summer sales event through TV advertising,Aug,2024
R_3RXktL7PgLcJR7j,Its all positive. I love the Ford motor Company,Aug,2024
R_1hyDHVo1qQcTS4W,they are labor rich,Aug,2024
R_1oi13yE90BqhkWZ,That Ford was beginning to do new things but also have a major recall on their cars.,Aug,2024
R_5W5G9FFnDNAZDDb,Recalls,Aug,2024
R_6BZIExEkuWTy7fP,Products,Aug,2024
R_57ORiaSZ2isL60M,New cars coming out,Aug,2024
R_7HbEQMkN2yNrl78,New truck,Aug,2024
R_34GUM76eu3xLa84,The news is that Ford has reduced producation of the F-150 lighting electric pickup truck.,Aug,2024
R_7R3WBlrrpz7mSnW,Ad for a truck,Aug,2024
R_750qYQkJuzedZ6h,Ford is doing better,Aug,2024
R_6k0yoRZdAeWjE4N,no sorry,Aug,2024
R_1oe8MxBsoHihMII,Power of the trucks,Aug,2024
R_5MSN3YscYyg41lX,Laying off and closing some businesses,Aug,2024
R_3wHr4T10uuBdfyM,Air bag recall,Aug,2024
R_5dJOPkq9gIb26aZ,Electric vehicles were to expensive to produce and sell,Aug,2024
R_3sdKOWaRUDppmDm,It was about new products.,Aug,2024
R_1YoEYLA2iU4Dqj7,Story was anout delaying EV commitments,Aug,2024
R_3rphfl6qQxArTcQ,Advertising for their products,Aug,2024
R_1jV6qG2cLghYIpm,that they are trying to have an all-electric fleet by 2030,Aug,2024
R_7iIKwsta7bMkxDL,a recall,Aug,2024
R_60SxTZKQJum22pE,Where Ford and Mazda has issued do-not-drive warnings for vehicles with takata airbags,Aug,2024
R_7yeAX8VzvDEAdrk,Was about the new model F150 coming out on how great it is.,Aug,2024
R_35GCuGgaodysvuh,The new mustang,Aug,2024
R_1P4VXOaMDZsoHyU,New Ford trucks,Aug,2024
R_3Cgrvwcj5aWtsw1,New vehicles,Aug,2024
R_7sobjz8AqO7B352,I dont remember,Aug,2024
R_1qVtMcRkEuahz2X,Just having new cars out,Aug,2024
R_3IGh8pAf7c3qCJl,They are a great american company that is popular.,Aug,2024
R_5RfFEHNttzQOxw5,It was a recall notice on the news,Aug,2024
R_6JemLOlcyCL4kGY,recall,Aug,2024
R_5RFn6gmkLS7kJ4l,How they are having engine problems,Aug,2024
R_6JfoYMcWouFJQbI,They run only on regular gasoline,Aug,2024
R_6J3s7hhc2V1rIxY,Nothing about that you got to get back,Aug,2024
R_3IWBJufesJvdUhV,It was a documetary.,Aug,2024
R_6ZuSqwA3FHmS8P7,I believe that the stock was headed towards a level decline.,Aug,2024
R_6qJEvli3IDIyBDX,New cars and motors,Aug,2024
R_7AaitUkpC0c0gLL,The new dark house being promoted rn,Aug,2024
R_5gOym2rieVAd6dR,Trucks,Aug,2024
R_5iWucA6bwZWfqEf,New technology on cars,Aug,2024
R_12apOnxce2VAisB,A commercial,Aug,2024
R_37SiGcDJTV04Zrj,It was about their line of trucks,Aug,2024
R_6QxV8UpKjVcLJ4n,closing factory in Michigan,Aug,2024
R_6Q6M3sQGMzE4Hst,Nothing,Aug,2024
R_1FnZNrJKOwLurf3,"Not good, problem to produce ev cars",Aug,2024
R_1I3K2m3GQudjzNj,I saw suv moving with full speed in a forest,Aug,2024
R_2P67xoJKlUfMdmg,They update the cars,Aug,2024
R_6ESVgezzjTVm7FU,How reliable their new cars versus old models are.,Aug,2024
R_3mB6ci7Xzfybehj,None,Aug,2024
R_3F54GHEO4D7KDlY,Brand new vehicles,Aug,2024
R_5rcwfUFkT7TZFq1,Nothing new,Aug,2024
R_6QGy7EoSfzNbCeA,quality service,Aug,2024
R_1HDQ79yDD2bWL3X,I heard about the new Coyote engine.,Aug,2024
R_6IWsROmR5fZM79N,I was just reading up on the history of Ford and how it’s one of America’s top automotive companies,Aug,2024
R_3oFSyFskXouR9y1,It was just a commercial,Aug,2024
R_5Cp2V4tTdY1XodF,I read that kia is going to produce new SUV,Aug,2024
R_3lGfJOoUmGQb2Cu,New cars that they are coming up with that’s what inheard,Aug,2024
R_6h5sHHiDmZ99CSZ,Ford new mustang that is all ev as well as other models going ev soon,Aug,2024
R_6kNPXUM9UIaWyTy,Yes,Aug,2024
R_3IY7NuwCKivhmOQ,The are trying to full electric,Aug,2024
R_5g7uxGghhEe0wCZ,I heard that they are creating a brand new vehicle that will change cars forever,Aug,2024
R_6Kuy4snl81to0k0,Because i love it,Aug,2024
R_7m2BVKKZE0CDPdO,Commercial,Aug,2024
R_64nANTQsB2piUQp,Well because its a reliable company and its a good way to help improve your vehicle.,Aug,2024
R_5zF9GCHpV5HeF6p,The maverick,Aug,2024
R_1v5wUx6kKsxvKrT,In an article published about Henry Ford,Aug,2024
R_6G6xy8SWBwNysNK,Good cars,Aug,2024
R_1fnYXojZWQtBrNv,"i enjoyed this a  lot,.",Aug,2024
R_7lruTQZAb88DpwZ,"I saw an ad during a televised sport game.  I do not remember much of it, but I remember the logo.",Aug,2024
R_3r08hQxqAo5HBw4,major air bag recall told drivers not to use their vehicles,Aug,2024
R_50UavlHsqpXDuSd,The new vehicles theyre making,Aug,2024
R_3xXo5NjDQ9EjXPK,About ford maverick,Aug,2024
R_3AKczkVYQqaJYSi,The news story was about Ford Motor Company introducing new vehicles.,Aug,2024
R_633WharqgwayMSJ,About easier in gas,Aug,2024
R_31jsM4tdBFwadrW,Recalls,Aug,2024
R_5MrrCrNJAL4qx45,It was a story about some of the workers wanting to start a union,Aug,2024
R_1huVllSa2HXeM5X,Ford strike is over and negotiations ended,Aug,2024
R_3GxKLKqj9VzAXpy,Several commercials.,Aug,2024
R_7jr8lZ6gTfamHFD,New EV plant,Aug,2024
